Municipality;Population
Botkyrka;81195
Danderyd;31150
Ekerö;25095
Haninge;76237
Huddinge;95798
Järfälla;65295
Lidingö;43445
Nacka;88085
Norrtälje;55927
Nykvarn;9227
Nynäshamn;25781
Salem;15313
Sigtuna;39219
Sollentuna;63347
Solna;66909
Stockholm;829417
Sundbyberg;37722
Södertälje;85270
Tyresö;42602
Täby;63014
Upplands Väsby;38641
Upplands-Bro;23202
Vallentuna;29361
Vaxholm;11001
Värmdö;37756
Österåker;39173
Enköping;39360
Heby;13355
Håbo;19452
Knivsta;14477
Tierp;20044
Uppsala;194751
Älvkarleby;9068
Östhammar;21391
Eskilstuna;95577
Flen;16139
Gnesta;10318
Katrineholm;32303
Nyköping;51209
Oxelösund;11126
Strängnäs;32024
Trosa;11446
Vingåker;8911
Boxholm;5248
Finspång;20733
Kinda;9811
Linköping;144690
Mjölby;25770
Motala;41843
Norrköping;129254
Söderköping;14042
Vadstena;7420
Valdemarsvik;7811
Ydre;3672
Åtvidaberg;11498
Ödeshög;5314
Aneby;6446
Eksjö;16353
Gislaved;29212
Gnosjö;9536
Habo;10674
Jönköping;126331
Mullsjö;7027
Nässjö;29489
Sävsjö;10871
Tranås;18043
Vaggeryd;12959
Vetlanda;26350
Värnamo;32753
Alvesta;18757
Lessebo;8165
Ljungby;27410
Markaryd;9559
Tingsryd;12358
Uppvidinge;9320
Växjö;82023
Älmhult;15570
Borgholm;10806
Emmaboda;9223
Hultsfred;13855
Högsby;5873
Kalmar;62388
Mönsterås;12980
Mörbylånga;13834
Nybro;19576
Oskarshamn;26232
Torsås;7044
Vimmerby;15538
Västervik;36290
Gotland;57221
Karlshamn;30918
Karlskrona;63342
Olofström;13102
Ronneby;28416
Sölvesborg;16813
Bjuv;14813
Bromölla;12285
Burlöv;16509
Båstad;14269
Eslöv;31269
Helsingborg;128359
Hässleholm;50036
Höganäs;24480
Hörby;14762
Höör;15261
Klippan;16382
Kristianstad;78788
Kävlinge;28638
Landskrona;41226
Lomma;21065
Lund;109147
Malmö;293909
Osby;12656
Perstorp;6983
Simrishamn;19328
Sjöbo;18153
Skurup;14867
Staffanstorp;21949
Svalöv;13290
Svedala;19625
Tomelilla;12936
Trelleborg;41891
Vellinge;33162
Ystad;28109
Åstorp;14667
Ängelholm;39083
Örkelljunga;9639
Östra Göinge;13526
Falkenberg;40739
Halmstad;91087
Hylte;10277
Kungsbacka;73938
Laholm;23345
Varberg;57439
Ale;27394
Alingsås;37515
Bengtsfors;9841
Bollebygd;8253
Borås;102458
Dals-Ed;4729
Essunga;5601
Falköping;31419
Färgelanda;6691
Grästorp;5857
Gullspång;5335
Göteborg;507330
Götene;13186
Herrljunga;9348
Hjo;8859
Härryda;34007
Karlsborg;6784
Kungälv;40727
Lerum;38301
Lidköping;37989
Lilla Edet;12773
Lysekil;14535
Mariestad;23799
Mark;33821
Mellerud;9261
Munkedal;10246
Mölndal;60381
Orust;15308
Partille;34382
Skara;18455
Skövde;50984
Sotenäs;9112
Stenungsund;23983
Strömstad;11690
Svenljunga;10291
Tanum;12253
Tibro;10611
Tidaholm;12632
Tjörn;14961
Tranemo;11622
Trollhättan;54873
Töreboda;9255
Uddevalla;51518
Ulricehamn;22753
Vara;15771
Vårgårda;10967
Vänersborg;36871
Åmål;12434
Öckerö;12292
Arvika;26100
Eda;8577
Filipstad;10626
Forshaga;11401
Grums;9142
Hagfors;12636
Hammarö;14833
Karlstad;84736
Kil;11717
Kristinehamn;23963
Munkfors;3793
Storfors;4363
Sunne;13345
Säffle;15602
Torsby;12508
Årjäng;9915
Askersund;11307
Degerfors;9709
Hallsberg;15235
Hällefors;7333
Karlskoga;29742
Kumla;20214
Laxå;5786
Lekeberg;7123
Lindesberg;23029
Ljusnarsberg;5055
Nora;10343
Örebro;134006
Arboga;13302
Fagersta;12249
Hallstahammar;15127
Kungsör;8116
Köping;24847
Norberg;5730
Sala;21499
Skinnskatteberg;4567
Surahammar;9980
Västerås;135936
Avesta;21762
Borlänge;48681
Falun;55685
Gagnef;10071
Hedemora;15195
Leksand;15303
Ludvika;25650
Malung-Sälen;10408
Mora;20146
Orsa;6934
Rättvik;10797
Smedjebacken;10758
Säter;10900
Vansbro;6876
Älvdalen;7288
Bollnäs;26175
Gävle;94352
Hofors;9873
Hudiksvall;36848
Ljusdal;19077
Nordanstig;9646
Ockelbo;5982
Ovanåker;11530
Sandviken;36978
Söderhamn;25759
Härnösand;24675
Kramfors;19214
Sollefteå;20442
Sundsvall;95533
Timrå;17902
Ånge;10148
Örnsköldsvik;55128
Berg;7447
Bräcke;6865
Härjedalen;10585
Krokom;14460
Ragunda;5609
Strömsund;12286
Åre;10278
Östersund;59136
Bjurholm;2500
Dorotea;2900
Lycksele;12427
Malå;3295
Nordmaling;7205
Norsjö;4361
Robertsfors;6880
Skellefteå;71770
Sorsele;2743
Storuman;6227
Umeå;114075
Vilhelmina;7156
Vindeln;5519
Vännäs;8357
Åsele;3133
Arjeplog;3143
Arvidsjaur;6622
Boden;27408
Gällivare;18533
Haparanda;10112
Jokkmokk;5210
Kalix;16926
Kiruna;22969
Luleå;73950
Pajala;6309
Piteå;40860
Älvsbyn;8387
Överkalix;3670
Övertorneå;4920
